tmin	tier	text	tmax
13.262358	word	UH	13.491837
13.491837	phone	D	13.571655
13.491837	word	DAVE	13.741270
13.571655	phone	EY1	13.651474
13.651474	phone	V	13.741270
13.741270	phone	W	13.801134
13.741270	word	WINFIELD	14.325515
13.801134	phone	IH1	13.831066
13.831066	phone	N	13.880952
13.880952	phone	F	13.960771
13.960771	phone	IY2	14.080499
14.080499	phone	L	14.261213
14.261213	phone	D	14.325515
14.325515	phone	AH0	14.370246
14.325515	word	AND	14.392612
14.370246	phone	N	14.392612
14.392612	phone	 DH	14.461108
14.392612	word	THEN	14.658206
14.461108	phone	EH1	14.510033
14.510033	phone	N	14.658206
14.658206	phone	W	14.738584
14.658206	word	WHEN	14.889553
14.738584	phone	EH1	14.839230
14.839230	phone	N	14.889553
14.889553	word	I	15.108163
14.889553	phone	AY1	15.108163
15.108163	word	sp	15.168027
15.108163	phone	sp	15.168027
15.168027	phone	K	15.287755
15.168027	word	KIND	15.407483
15.287755	phone	AY1	15.347619
15.347619	phone	N	15.377551
15.377551	phone	D	15.407483
15.407483	phone	AH0	15.437415
15.407483	word	OF	15.467347
15.437415	phone	V	15.467347
15.467347	phone	K	15.577098
15.467347	word	CAME	15.716780
15.577098	phone	EY1	15.636961
15.636961	phone	M	15.716780
15.716780	phone	IH2	15.746712
15.716780	word	INTO	15.856463
15.746712	phone	N	15.776644
15.776644	phone	T	15.826531
15.826531	phone	AH0	15.856463
15.856463	phone	M	15.896372
15.856463	word	MY	15.996145
15.896372	phone	AY1	15.996145
15.996145	phone	T	16.105896
15.996145	word	TEENS	16.724490
16.105896	phone	IY1	16.445125
16.445125	phone	N	16.485034
16.485034	phone	Z	16.724490
16.724490	phone	AH1	17.233333
16.724490	word	UH	17.233333
17.233333	phone	sp	17.382993
17.233333	word	sp	17.382993
17.382993	phone	D	17.432880
17.382993	word	DON	17.622449
17.432880	phone	AA1	17.592517
17.592517	phone	N	17.622449
17.622449	phone	M	17.662358
17.622449	word	MATTINGLY	18.071429
17.662358	phone	AE1	17.802041
17.802041	phone	T	17.831973
17.831973	phone	IH0	17.881859
17.881859	phone	NG	17.971655
17.971655	phone	L	18.031519
18.031519	phone	IY0	18.071429
18.071429	phone	sp	18.091383
18.071429	word	sp	18.091383
18.091383	phone	HH	18.181179
18.091383	word	WHO	18.270975
18.181179	phone	UW1	18.270975
18.270975	phone	W	18.300907
18.270975	word	WAS	18.690023
18.300907	phone	AH0	18.330839
18.330839	phone	Z	18.690023
18.690023	word	sp	18.709977
18.690023	phone	sp	18.709977
18.709977	phone	Y	18.799773
18.709977	word	YOU	18.829705
18.799773	phone	UW1	18.829705
18.829705	phone	N	18.949433
18.829705	word	KNOW	18.989342
18.949433	phone	OW1	18.989342
18.989342	phone	sp	19.278685
18.989342	word	sp	19.278685
19.278685	phone	M	19.328571
19.278685	word	MY	19.508163
19.328571	phone	AY1	19.508163
19.508163	word	sp	19.787528
19.508163	phone	sp	19.787528
19.787528	phone	AE1	19.917234
19.787528	word	ABSOLUTE	20.206576
19.917234	phone	B	19.947166
19.947166	phone	S	20.046939
20.046939	phone	AH0	20.076871
20.076871	phone	L	20.106803
20.106803	phone	UW2	20.176644
20.176644	phone	T	20.206576
20.206576	phone	F	20.236508
20.206576	word	FAVORITE	20.515873
20.236508	phone	EY1	20.336281
20.336281	phone	V	20.376190
20.376190	phone	ER0	20.456009
20.456009	phone	AH0	20.485941
20.485941	phone	T	20.515873
20.515873	phone	P	20.555782
20.515873	word	PLAYER	20.944898
20.555782	phone	L	20.625624
20.625624	phone	EY1	20.745351
20.745351	phone	ER0	20.944898
20.944898	phone	AH0	20.974830
20.944898	word	AND	21.184354
20.974830	phone	N	21.114512
21.114512	phone	D	21.184354
21.184354	phone	AE1	21.353968
21.184354	word	AS	21.443764
21.353968	phone	Z	21.443764
21.443764	phone	AY1	21.753061
21.443764	word	I	21.753061
21.753061	phone	sp	22.002494
21.753061	word	sp	22.002494
22.002494	phone	AY1	22.221995
22.002494	word	I	22.221995
22.221995	phone	sp	22.421542
22.221995	word	sp	22.421542
22.421542	phone	W	22.480033
22.421542	word	WENT	22.581179
22.480033	phone	EH1	22.521315
22.521315	phone	N	22.551247
22.551247	phone	T	22.581179
22.581179	phone	T	22.611111
22.581179	word	TO	22.641043
22.611111	phone	AH0	22.641043
22.641043	phone	HH	22.680952
22.641043	word	HIGH	22.740816
22.680952	phone	AY1	22.740816
22.740816	phone	S	22.850567
22.740816	word	SCHOOL	23.020181
22.850567	phone	K	22.890476
22.890476	phone	UW1	22.930385
22.930385	phone	L	23.020181
23.020181	phone	AH0	23.050113
23.020181	word	IN	23.080045
23.050113	phone	N	23.080045
23.080045	phone	N	23.129932
23.080045	word	NEW	23.159864
23.129932	phone	UW1	23.159864
23.159864	phone	Y	23.249660
23.159864	word	YORK	23.778458
23.249660	phone	AO1	23.369388
23.369388	phone	R	23.529025
23.529025	phone	K	23.778458
23.778458	phone	AH0	23.808390
23.778458	word	AND	23.938095
23.808390	phone	N	23.908163
23.908163	phone	D	23.938095
23.938095	word	sp	24.197032
23.938095	phone	sp	24.197032
24.197032	word	{BR}	24.616553
24.197032	phone	br	24.616553
24.616553	phone	AH0	24.656463
24.616553	word	IT	24.686395
24.656463	phone	T	24.686395
24.686395	phone	W	24.716327
24.686395	word	WAS	24.816100
24.716327	phone	AH0	24.746259
24.746259	phone	Z	24.816100
24.816100	phone	K	24.846032
24.816100	word	KIND	24.935828
24.846032	phone	AY1	24.875964
24.875964	phone	N	24.905896
24.905896	phone	D	24.935828
24.935828	phone	AH1	24.965760
24.935828	word	OF	24.995692
24.965760	phone	V	24.995692
24.995692	word	A	25.035601
24.995692	phone	AH0	25.035601
25.035601	phone	T	25.095465
25.035601	word	TURNING	25.354875
25.095465	phone	ER1	25.195238
25.195238	phone	N	25.235147
25.235147	phone	IH0	25.275057
25.275057	phone	NG	25.354875
25.354875	phone	P	25.394785
25.354875	word	POINT	25.704082
25.394785	phone	OY1	25.554422
25.554422	phone	N	25.614286
25.614286	phone	T	25.704082
25.704082	phone	DH	25.734014
25.704082	word	THE	25.763946
25.734014	phone	AH0	25.763946
25.763946	phone	F	25.843764
25.763946	word	FIRST	26.013379
25.843764	phone	ER1	25.943537
25.943537	phone	S	25.973469
25.973469	phone	T	26.013379
26.013379	phone	T	26.043311
26.013379	word	TIME	26.242857
26.043311	phone	AY1	26.153061
26.153061	phone	M	26.242857
26.242857	phone	DH	26.282766
26.242857	word	THAT	26.332653
26.282766	phone	AE1	26.332653
26.332653	phone	AY1	26.382540
26.332653	word	I	26.382540
26.382540	phone	W	26.412472
26.382540	word	WENT	26.502268
26.412472	phone	EH1	26.442404
26.442404	phone	N	26.472336
26.472336	phone	T	26.502268
26.502268	phone	T	26.532200
26.502268	word	TO	26.562132
26.532200	phone	IH0	26.562132
26.562132	phone	AH0	26.592063
26.562132	word	A	26.592063
26.592063	phone	Y	26.631973
26.592063	word	YANKEE	26.881406
26.631973	phone	AE1	26.661905
26.661905	phone	NG	26.741723
26.741723	phone	K	26.771655
26.771655	phone	IY0	26.881406
26.881406	phone	G	26.911338
26.881406	word	GAME	27.060998
26.911338	phone	EY1	27.001134
27.001134	phone	M	27.060998
27.060998	phone	B	27.110884
27.060998	word	BY	27.220635
27.110884	phone	AY1	27.220635
27.220635	phone	M	27.290476
27.220635	word	MYSELF	27.809297
27.290476	phone	AY2	27.370295
27.370295	phone	S	27.500000
27.500000	phone	EH1	27.539909
27.539909	phone	L	27.779365
27.779365	phone	F	27.809297
27.809297	phone	AH0	27.839229
27.809297	word	AND	27.889116
27.839229	phone	N	27.889116
27.889116	phone	AY1	27.919048
27.889116	word	I	27.919048
27.919048	phone	S	28.008844
27.919048	word	STARTED	28.208390
28.008844	phone	T	28.038776
28.038776	phone	AA1	28.068707
28.068707	phone	R	28.098639
28.098639	phone	T	28.128571
28.128571	phone	AH0	28.158503
28.158503	phone	D	28.208390
28.208390	phone	G	28.238322
28.208390	word	GOING	28.368027
28.238322	phone	OW1	28.288209
28.288209	phone	AH0	28.318141
28.318141	phone	N	28.368027
28.368027	phone	T	28.397959
28.368027	word	TO	28.427891
28.397959	phone	IH0	28.427891
28.427891	phone	Y	28.487755
28.427891	word	YANKEE	28.617460
28.487755	phone	AE1	28.517687
28.517687	phone	NG	28.557596
28.557596	phone	K	28.587528
28.587528	phone	IY0	28.617460
28.617460	word	sp	28.677324
28.617460	phone	sp	28.677324
28.677324	phone	G	28.707256
28.677324	word	GAMES	28.926757
28.707256	phone	EY1	28.787075
28.787075	phone	M	28.836961
28.836961	phone	Z	28.926757
28.926757	phone	B	28.966667
28.926757	word	BY	29.076417
28.966667	phone	AY1	29.076417
29.076417	phone	M	29.146259
29.076417	word	MYSELF	29.625170
29.146259	phone	AY2	29.196145
